======================================================================
  STANDALONE TRAIN — synthetic, variant M0, hyperparameters from run_098
======================================================================
  sweep summary : /projects/anbu8374/Python-Research/lasp-CU-paper-3/hyper_parameter_sweep/sweep_results_profile_only_synthetic_M0/run_098/summary.json
  HDF5 file     : /gpfs/alpine1/scratch/anbu8374/neural_network_training_data/synthetic_training_data_7-levels_8_May_2026.h5
  output dir    : /projects/anbu8374/Python-Research/lasp-CU-paper-3/standalone_results_profile_only_synthetic/M0_run098_synthetic_training_data_7-levels_8_May_2026_atest
  device        : cuda

  Network input layout: 636 reflectance ⊕ 4 geometry (sza, vza, saz, vaz) ⊕ 3 extras = 643
  Extras status: tau_c=ZEROED | wv_above=ZEROED | wv_in=ZEROED
  Split sizes  : n_val=4199, n_test=4199 (profile-aware)

  Hyperparameters being reused:
    hidden_dims            = [512, 512, 256, 256]
    activation             = gelu
    dropout                = 0.1946
    learning_rate          = 7.970971212070194e-05
    lambda_physics         = 0.0065
    lambda_monotonicity    = 0.1779
    lambda_adiabatic       = 0.063
    lambda_smoothness      = 0.1639
    level_weights          = [5.199148273471455, 3.754462633346129, 3.01285889763222, 2.7850412811874383, 3.01285889763222, 3.754462633346129, 5.199148273471455]
    level_weights_name     = u_shape
    batch_size             = 128
    augment_noise_std      = 0.0208
    n_epochs               = 2500
    scheduler_patience     = 30
    early_stop_patience    = 150
    warmup_steps           = 500
    weight_decay           = 0.0001
    sigma_floor            = 0.01

======================================================================
  K-FOLD MODE — full coverage, K = 20
======================================================================
  n_total = 41991,  fold_size ≈ 2099, n_val per fold = 4199

[Fold 1/20]  train 35,692  val 4,199  test 2,100  → /projects/anbu8374/Python-Research/lasp-CU-paper-3/standalone_results_profile_only_synthetic/M0_run098_synthetic_training_data_7-levels_8_May_2026_atest/fold_01
  Epoch    1 | Train -1.0238 | Val -2.3797 | LR 4.4e-05 | NoImp 0
  Epoch  500 | Train -3.3140 | Val -3.3514 | LR 1.0e-05 | NoImp 7
  Epoch  525 | Train -3.3125 | Val -3.3520 | LR 1.0e-05 | NoImp 16
  Epoch  550 | Train -3.3148 | Val -3.3574 | LR 1.0e-05 | NoImp 2
  Epoch  575 | Train -3.3158 | Val -3.3519 | LR 1.0e-05 | NoImp 3
  Epoch  600 | Train -3.3173 | Val -3.3537 | LR 1.0e-05 | NoImp 28
  Epoch  625 | Train -3.3184 | Val -3.3588 | LR 5.0e-06 | NoImp 20
  Epoch  650 | Train -3.3222 | Val -3.3616 | LR 5.0e-06 | NoImp 19
  Epoch  675 | Train -3.3203 | Val -3.3574 | LR 5.0e-06 | NoImp 12
  Epoch  700 | Train -3.3210 | Val -3.3598 | LR 5.0e-06 | NoImp 37
  Epoch  725 | Train -3.3232 | Val -3.3618 | LR 2.5e-06 | NoImp 7
  Epoch  750 | Train -3.3230 | Val -3.3615 | LR 2.5e-06 | NoImp 13
  Epoch  775 | Train -3.3219 | Val -3.3621 | LR 2.5e-06 | NoImp 38
  Epoch  800 | Train -3.3238 | Val -3.3632 | LR 2.5e-06 | NoImp 63
  Epoch  825 | Train -3.3239 | Val -3.3631 | LR 2.5e-06 | NoImp 5
  Epoch  850 | Train -3.3249 | Val -3.3637 | LR 2.5e-06 | NoImp 7
  Epoch  875 | Train -3.3251 | Val -3.3629 | LR 2.5e-06 | NoImp 32
  Epoch  900 | Train -3.3245 | Val -3.3640 | LR 2.5e-06 | NoImp 57
  Epoch  925 | Train -3.3234 | Val -3.3645 | LR 2.5e-06 | NoImp 17
  Epoch  950 | Train -3.3245 | Val -3.3643 | LR 2.5e-06 | NoImp 3
  Epoch  975 | Train -3.3245 | Val -3.3642 | LR 2.5e-06 | NoImp 28
  Epoch 1000 | Train -3.3265 | Val -3.3648 | LR 2.5e-06 | NoImp 53
  Epoch 1025 | Train -3.3262 | Val -3.3620 | LR 2.5e-06 | NoImp 78
  Epoch 1050 | Train -3.3253 | Val -3.3628 | LR 2.5e-06 | NoImp 103
  Epoch 1075 | Train -3.3254 | Val -3.3625 | LR 2.5e-06 | NoImp 8
  Epoch 1100 | Train -3.3255 | Val -3.3639 | LR 2.5e-06 | NoImp 33
  Epoch 1125 | Train -3.3266 | Val -3.3637 | LR 2.5e-06 | NoImp 13
  Epoch 1150 | Train -3.3279 | Val -3.3645 | LR 2.5e-06 | NoImp 38
  Epoch 1175 | Train -3.3271 | Val -3.3633 | LR 2.5e-06 | NoImp 63
  Epoch 1200 | Train -3.3270 | Val -3.3654 | LR 2.5e-06 | NoImp 7
  Epoch 1225 | Train -3.3268 | Val -3.3613 | LR 2.5e-06 | NoImp 8
  Epoch 1250 | Train -3.3281 | Val -3.3660 | LR 2.5e-06 | NoImp 33
  Epoch 1275 | Train -3.3286 | Val -3.3638 | LR 2.5e-06 | NoImp 16
  Epoch 1300 | Train -3.3282 | Val -3.3648 | LR 2.5e-06 | NoImp 41
  Epoch 1325 | Train -3.3280 | Val -3.3648 | LR 2.5e-06 | NoImp 66
  Epoch 1350 | Train -3.3288 | Val -3.3656 | LR 2.5e-06 | NoImp 2
  Epoch 1375 | Train -3.3277 | Val -3.3659 | LR 2.5e-06 | NoImp 27
  Epoch 1400 | Train -3.3301 | Val -3.3665 | LR 1.2e-06 | NoImp 52
  Epoch 1425 | Train -3.3291 | Val -3.3662 | LR 1.0e-06 | NoImp 77
  Epoch 1450 | Train -3.3301 | Val -3.3666 | LR 1.0e-06 | NoImp 102
  Epoch 1475 | Train -3.3302 | Val -3.3664 | LR 1.0e-06 | NoImp 127
  Early stop at epoch 1498 (no improvement in 150 epochs)
  Fold 1 done. Mean RMSE = 0.976 μm (best epoch 1347, 2046 s)

[Fold 2/20]  train 35,692  val 4,199  test 2,100  → /projects/anbu8374/Python-Research/lasp-CU-paper-3/standalone_results_profile_only_synthetic/M0_run098_synthetic_training_data_7-levels_8_May_2026_atest/fold_02
  Epoch    1 | Train -0.9116 | Val -2.2803 | LR 4.4e-05 | NoImp 0
  Epoch    2 | Train -2.4652 | Val -2.9540 | LR 8.0e-05 | NoImp 0
  Epoch    3 | Train -2.7062 | Val -3.0356 | LR 8.0e-05 | NoImp 0
  Epoch   25 | Train -3.1164 | Val -3.1866 | LR 8.0e-05 | NoImp 1
  Epoch   50 | Train -3.1663 | Val -3.2379 | LR 8.0e-05 | NoImp 8
  Epoch   75 | Train -3.1956 | Val -3.2801 | LR 8.0e-05 | NoImp 0
  Epoch  100 | Train -3.2059 | Val -3.2656 | LR 8.0e-05 | NoImp 3
  Epoch  125 | Train -3.2225 | Val -3.2796 | LR 8.0e-05 | NoImp 17
  Epoch  150 | Train -3.2341 | Val -3.3083 | LR 8.0e-05 | NoImp 14
  Epoch  175 | Train -3.2626 | Val -3.3182 | LR 4.0e-05 | NoImp 5
  Epoch  200 | Train -3.2669 | Val -3.3344 | LR 4.0e-05 | NoImp 1
  Epoch  225 | Train -3.2690 | Val -3.3234 | LR 4.0e-05 | NoImp 8
  Epoch  250 | Train -3.2747 | Val -3.3437 | LR 4.0e-05 | NoImp 6
  Epoch  275 | Train -3.2776 | Val -3.3342 | LR 2.0e-05 | NoImp 31
  Epoch  300 | Train -3.2920 | Val -3.3509 | LR 2.0e-05 | NoImp 9
  Epoch  325 | Train -3.2969 | Val -3.3581 | LR 1.0e-05 | NoImp 2
  Epoch  350 | Train -3.2985 | Val -3.3597 | LR 1.0e-05 | NoImp 10
  Epoch  375 | Train -3.2996 | Val -3.3595 | LR 1.0e-05 | NoImp 35
  Epoch  400 | Train -3.2996 | Val -3.3590 | LR 1.0e-05 | NoImp 9
  Epoch  425 | Train -3.2994 | Val -3.3565 | LR 1.0e-05 | NoImp 22
  Epoch  450 | Train -3.3020 | Val -3.3609 | LR 1.0e-05 | NoImp 11
  Epoch  475 | Train -3.3031 | Val -3.3632 | LR 1.0e-05 | NoImp 6
  Epoch  500 | Train -3.3051 | Val -3.3645 | LR 1.0e-05 | NoImp 0
  Epoch  525 | Train -3.3045 | Val -3.3601 | LR 1.0e-05 | NoImp 12
  Epoch  550 | Train -3.3072 | Val -3.3617 | LR 1.0e-05 | NoImp 7
  Epoch  575 | Train -3.3060 | Val -3.3627 | LR 1.0e-05 | NoImp 17
  Epoch  600 | Train -3.3102 | Val -3.3668 | LR 5.0e-06 | NoImp 4
  Epoch  625 | Train -3.3115 | Val -3.3667 | LR 5.0e-06 | NoImp 29
  Epoch  650 | Train -3.3137 | Val -3.3693 | LR 2.5e-06 | NoImp 4
  Epoch  675 | Train -3.3131 | Val -3.3683 | LR 2.5e-06 | NoImp 29
  Epoch  700 | Train -3.3120 | Val -3.3671 | LR 2.5e-06 | NoImp 22
  Epoch  725 | Train -3.3132 | Val -3.3700 | LR 2.5e-06 | NoImp 0
  Epoch  750 | Train -3.3129 | Val -3.3698 | LR 2.5e-06 | NoImp 23
  Epoch  775 | Train -3.3136 | Val -3.3687 | LR 1.2e-06 | NoImp 48
  Epoch  800 | Train -3.3143 | Val -3.3700 | LR 1.0e-06 | NoImp 73
  Epoch  825 | Train -3.3165 | Val -3.3686 | LR 1.0e-06 | NoImp 98
  Epoch  850 | Train -3.3158 | Val -3.3684 | LR 1.0e-06 | NoImp 9
  Epoch  875 | Train -3.3133 | Val -3.3699 | LR 1.0e-06 | NoImp 13
  Epoch  900 | Train -3.3162 | Val -3.3706 | LR 1.0e-06 | NoImp 38
  Epoch  925 | Train -3.3159 | Val -3.3704 | LR 1.0e-06 | NoImp 12
  Epoch  950 | Train -3.3168 | Val -3.3693 | LR 1.0e-06 | NoImp 37
  Epoch  975 | Train -3.3147 | Val -3.3688 | LR 1.0e-06 | NoImp 62
  Epoch 1000 | Train -3.3162 | Val -3.3690 | LR 1.0e-06 | NoImp 10
  Epoch 1025 | Train -3.3156 | Val -3.3699 | LR 1.0e-06 | NoImp 35
  Epoch 1050 | Train -3.3166 | Val -3.3691 | LR 1.0e-06 | NoImp 60
  Epoch 1075 | Train -3.3154 | Val -3.3706 | LR 1.0e-06 | NoImp 85
  Epoch 1100 | Train -3.3155 | Val -3.3710 | LR 1.0e-06 | NoImp 110
  Epoch 1125 | Train -3.3156 | Val -3.3709 | LR 1.0e-06 | NoImp 23
  Epoch 1150 | Train -3.3179 | Val -3.3715 | LR 1.0e-06 | NoImp 0
  Epoch 1175 | Train -3.3164 | Val -3.3708 | LR 1.0e-06 | NoImp 25
  Epoch 1200 | Train -3.3166 | Val -3.3710 | LR 1.0e-06 | NoImp 12
  Epoch 1225 | Train -3.3159 | Val -3.3698 | LR 1.0e-06 | NoImp 6
  Epoch 1250 | Train -3.3144 | Val -3.3712 | LR 1.0e-06 | NoImp 21
  Epoch 1275 | Train -3.3162 | Val -3.3710 | LR 1.0e-06 | NoImp 46
  Epoch 1300 | Train -3.3172 | Val -3.3698 | LR 1.0e-06 | NoImp 71
  Epoch 1325 | Train -3.3165 | Val -3.3705 | LR 1.0e-06 | NoImp 96
  Epoch 1350 | Train -3.3179 | Val -3.3711 | LR 1.0e-06 | NoImp 23
  Epoch 1375 | Train -3.3158 | Val -3.3711 | LR 1.0e-06 | NoImp 48
  Epoch 1400 | Train -3.3184 | Val -3.3705 | LR 1.0e-06 | NoImp 73
  Epoch 1425 | Train -3.3180 | Val -3.3709 | LR 1.0e-06 | NoImp 18
  Epoch 1450 | Train -3.3175 | Val -3.3718 | LR 1.0e-06 | NoImp 43
  Epoch 1475 | Train -3.3185 | Val -3.3711 | LR 1.0e-06 | NoImp 12
  Epoch 1500 | Train -3.3176 | Val -3.3708 | LR 1.0e-06 | NoImp 37
  Epoch 1525 | Train -3.3192 | Val -3.3716 | LR 1.0e-06 | NoImp 62
  Epoch 1550 | Train -3.3178 | Val -3.3720 | LR 1.0e-06 | NoImp 7
  Epoch 1575 | Train -3.3181 | Val -3.3711 | LR 1.0e-06 | NoImp 20
  Epoch 1600 | Train -3.3177 | Val -3.3712 | LR 1.0e-06 | NoImp 45
  Epoch 1625 | Train -3.3174 | Val -3.3714 | LR 1.0e-06 | NoImp 7
  Epoch 1650 | Train -3.3179 | Val -3.3708 | LR 1.0e-06 | NoImp 5
  Epoch 1675 | Train -3.3195 | Val -3.3724 | LR 1.0e-06 | NoImp 30
  Epoch 1700 | Train -3.3185 | Val -3.3697 | LR 1.0e-06 | NoImp 55
  Epoch 1725 | Train -3.3193 | Val -3.3709 | LR 1.0e-06 | NoImp 14
  Epoch 1750 | Train -3.3183 | Val -3.3697 | LR 1.0e-06 | NoImp 39
  Epoch 1775 | Train -3.3176 | Val -3.3706 | LR 1.0e-06 | NoImp 64
  Epoch 1800 | Train -3.3212 | Val -3.3715 | LR 1.0e-06 | NoImp 89
  Epoch 1825 | Train -3.3185 | Val -3.3732 | LR 1.0e-06 | NoImp 0
  Epoch 1850 | Train -3.3192 | Val -3.3718 | LR 1.0e-06 | NoImp 25
  Epoch 1875 | Train -3.3194 | Val -3.3722 | LR 1.0e-06 | NoImp 50
  Epoch 1900 | Train -3.3198 | Val -3.3721 | LR 1.0e-06 | NoImp 24
  Epoch 1925 | Train -3.3193 | Val -3.3718 | LR 1.0e-06 | NoImp 49
  Epoch 1950 | Train -3.3187 | Val -3.3726 | LR 1.0e-06 | NoImp 74
  Epoch 1975 | Train -3.3188 | Val -3.3729 | LR 1.0e-06 | NoImp 99
  Epoch 2000 | Train -3.3188 | Val -3.3719 | LR 1.0e-06 | NoImp 124
  Epoch 2025 | Train -3.3213 | Val -3.3729 | LR 1.0e-06 | NoImp 149
  Early stop at epoch 2026 (no improvement in 150 epochs)
  Fold 2 done. Mean RMSE = 1.000 μm (best epoch 1875, 2744 s)

[Fold 3/20]  train 35,692  val 4,199  test 2,100  → /projects/anbu8374/Python-Research/lasp-CU-paper-3/standalone_results_profile_only_synthetic/M0_run098_synthetic_training_data_7-levels_8_May_2026_atest/fold_03
  Epoch    1 | Train -1.0521 | Val -2.4730 | LR 4.4e-05 | NoImp 0
  Epoch    2 | Train -2.5481 | Val -2.9269 | LR 8.0e-05 | NoImp 0
  Epoch    3 | Train -2.7430 | Val -2.9749 | LR 8.0e-05 | NoImp 0
  Epoch   25 | Train -3.1146 | Val -3.2100 | LR 8.0e-05 | NoImp 0
  Epoch   50 | Train -3.1640 | Val -3.2555 | LR 8.0e-05 | NoImp 0
  Epoch   75 | Train -3.1926 | Val -3.2634 | LR 8.0e-05 | NoImp 6
  Epoch  100 | Train -3.2126 | Val -3.2896 | LR 8.0e-05 | NoImp 16
  Epoch  125 | Train -3.2203 | Val -3.2519 | LR 8.0e-05 | NoImp 5
  Epoch  150 | Train -3.2387 | Val -3.1970 | LR 8.0e-05 | NoImp 4
  Epoch  175 | Train -3.2458 | Val -3.3250 | LR 8.0e-05 | NoImp 8
  Epoch  200 | Train -3.2562 | Val -3.3177 | LR 8.0e-05 | NoImp 8
  Epoch  225 | Train -3.2616 | Val -3.3304 | LR 8.0e-05 | NoImp 7
  Epoch  250 | Train -3.2684 | Val -3.3345 | LR 8.0e-05 | NoImp 5
  Epoch  275 | Train -3.2750 | Val -3.3316 | LR 8.0e-05 | NoImp 9
  Epoch  300 | Train -3.2784 | Val -3.3258 | LR 8.0e-05 | NoImp 2
  Epoch  325 | Train -3.2829 | Val -3.3302 | LR 8.0e-05 | NoImp 27
  Epoch  350 | Train -3.3005 | Val -3.3612 | LR 4.0e-05 | NoImp 3
  Epoch  375 | Train -3.3024 | Val -3.3467 | LR 4.0e-05 | NoImp 5
  Epoch  400 | Train -3.3057 | Val -3.3686 | LR 4.0e-05 | NoImp 0
  Epoch  425 | Train -3.3088 | Val -3.3605 | LR 4.0e-05 | NoImp 25
  Epoch  450 | Train -3.3173 | Val -3.3676 | LR 2.0e-05 | NoImp 8
  Epoch  475 | Train -3.3230 | Val -3.3749 | LR 1.0e-05 | NoImp 1
  Epoch  500 | Train -3.3239 | Val -3.3750 | LR 1.0e-05 | NoImp 4
  Epoch  525 | Train -3.3243 | Val -3.3698 | LR 1.0e-05 | NoImp 4
  Epoch  550 | Train -3.3242 | Val -3.3769 | LR 1.0e-05 | NoImp 29
  Epoch  575 | Train -3.3273 | Val -3.3792 | LR 5.0e-06 | NoImp 6
  Epoch  600 | Train -3.3264 | Val -3.3789 | LR 5.0e-06 | NoImp 9
  Epoch  625 | Train -3.3295 | Val -3.3799 | LR 2.5e-06 | NoImp 34
  Epoch  650 | Train -3.3308 | Val -3.3805 | LR 2.5e-06 | NoImp 3
  Epoch  675 | Train -3.3299 | Val -3.3803 | LR 2.5e-06 | NoImp 5
  Epoch  700 | Train -3.3319 | Val -3.3809 | LR 2.5e-06 | NoImp 11
  Epoch  725 | Train -3.3294 | Val -3.3811 | LR 2.5e-06 | NoImp 1
  Epoch  750 | Train -3.3322 | Val -3.3820 | LR 2.5e-06 | NoImp 0
  Epoch  775 | Train -3.3322 | Val -3.3812 | LR 2.5e-06 | NoImp 25
  Epoch  800 | Train -3.3298 | Val -3.3817 | LR 2.5e-06 | NoImp 4
  Epoch  825 | Train -3.3315 | Val -3.3811 | LR 2.5e-06 | NoImp 29
  Epoch  850 | Train -3.3313 | Val -3.3808 | LR 2.5e-06 | NoImp 24
  Epoch  875 | Train -3.3326 | Val -3.3795 | LR 2.5e-06 | NoImp 49
  Epoch  900 | Train -3.3307 | Val -3.3822 | LR 2.5e-06 | NoImp 1
  Epoch  925 | Train -3.3306 | Val -3.3813 | LR 2.5e-06 | NoImp 26
  Epoch  950 | Train -3.3324 | Val -3.3814 | LR 1.2e-06 | NoImp 51
  Epoch  975 | Train -3.3333 | Val -3.3823 | LR 1.2e-06 | NoImp 76
  Epoch 1000 | Train -3.3330 | Val -3.3823 | LR 1.2e-06 | NoImp 12
  Epoch 1025 | Train -3.3316 | Val -3.3821 | LR 1.2e-06 | NoImp 37
  Epoch 1050 | Train -3.3329 | Val -3.3819 | LR 1.2e-06 | NoImp 18
  Epoch 1075 | Train -3.3317 | Val -3.3825 | LR 1.2e-06 | NoImp 5
  Epoch 1100 | Train -3.3339 | Val -3.3821 | LR 1.2e-06 | NoImp 30
  Epoch 1125 | Train -3.3346 | Val -3.3826 | LR 1.2e-06 | NoImp 20
  Epoch 1150 | Train -3.3315 | Val -3.3819 | LR 1.2e-06 | NoImp 5
  Epoch 1175 | Train -3.3324 | Val -3.3830 | LR 1.2e-06 | NoImp 30
  Epoch 1200 | Train -3.3362 | Val -3.3827 | LR 1.0e-06 | NoImp 55
  Epoch 1225 | Train -3.3331 | Val -3.3825 | LR 1.0e-06 | NoImp 80
  Epoch 1250 | Train -3.3337 | Val -3.3826 | LR 1.0e-06 | NoImp 105
  Epoch 1275 | Train -3.3335 | Val -3.3832 | LR 1.0e-06 | NoImp 130
  Early stop at epoch 1295 (no improvement in 150 epochs)
  Fold 3 done. Mean RMSE = 1.026 μm (best epoch 1144, 1805 s)

[Fold 4/20]  train 35,692  val 4,199  test 2,100  → /projects/anbu8374/Python-Research/lasp-CU-paper-3/standalone_results_profile_only_synthetic/M0_run098_synthetic_training_data_7-levels_8_May_2026_atest/fold_04
  Epoch    1 | Train -1.0101 | Val -2.3715 | LR 4.4e-05 | NoImp 0
  Epoch    2 | Train -2.5207 | Val -2.9300 | LR 8.0e-05 | NoImp 0
  Epoch    3 | Train -2.7393 | Val -3.0281 | LR 8.0e-05 | NoImp 0
  Epoch   25 | Train -3.1140 | Val -3.2039 | LR 8.0e-05 | NoImp 1
  Epoch   50 | Train -3.1647 | Val -3.2520 | LR 8.0e-05 | NoImp 0
  Epoch   75 | Train -3.1935 | Val -3.2718 | LR 8.0e-05 | NoImp 1
  Epoch  100 | Train -3.2137 | Val -3.2931 | LR 8.0e-05 | NoImp 7
  Epoch  125 | Train -3.2260 | Val -3.2917 | LR 8.0e-05 | NoImp 3
  Epoch  150 | Train -3.2364 | Val -3.2887 | LR 8.0e-05 | NoImp 4
  Epoch  175 | Train -3.2460 | Val -3.3207 | LR 8.0e-05 | NoImp 1
  Epoch  200 | Train -3.2548 | Val -3.3305 | LR 8.0e-05 | NoImp 12
  Epoch  225 | Train -3.2597 | Val -3.2947 | LR 8.0e-05 | NoImp 1
  Epoch  250 | Train -3.2689 | Val -3.3145 | LR 8.0e-05 | NoImp 17
  Epoch  275 | Train -3.2762 | Val -3.3381 | LR 8.0e-05 | NoImp 3
  Epoch  300 | Train -3.2806 | Val -3.3341 | LR 8.0e-05 | NoImp 11
  Epoch  325 | Train -3.2949 | Val -3.3525 | LR 4.0e-05 | NoImp 0
  Epoch  350 | Train -3.3007 | Val -3.3435 | LR 4.0e-05 | NoImp 20
  Epoch  375 | Train -3.3034 | Val -3.3602 | LR 4.0e-05 | NoImp 0
  Epoch  400 | Train -3.3059 | Val -3.3524 | LR 4.0e-05 | NoImp 25
  Epoch  425 | Train -3.3072 | Val -3.3497 | LR 4.0e-05 | NoImp 22
  Epoch  450 | Train -3.3157 | Val -3.3624 | LR 2.0e-05 | NoImp 1
  Epoch  475 | Train -3.3196 | Val -3.3640 | LR 2.0e-05 | NoImp 26
  Epoch  500 | Train -3.3210 | Val -3.3609 | LR 2.0e-05 | NoImp 22
  Epoch  525 | Train -3.3260 | Val -3.3655 | LR 1.0e-05 | NoImp 14
  Epoch  550 | Train -3.3252 | Val -3.3673 | LR 1.0e-05 | NoImp 2
  Epoch  575 | Train -3.3296 | Val -3.3652 | LR 1.0e-05 | NoImp 27
  Epoch  600 | Train -3.3269 | Val -3.3688 | LR 1.0e-05 | NoImp 16
  Epoch  625 | Train -3.3284 | Val -3.3679 | LR 1.0e-05 | NoImp 22
  Epoch  650 | Train -3.3285 | Val -3.3709 | LR 1.0e-05 | NoImp 0
  Epoch  675 | Train -3.3292 | Val -3.3688 | LR 1.0e-05 | NoImp 19
  Epoch  700 | Train -3.3328 | Val -3.3705 | LR 5.0e-06 | NoImp 44
  Epoch  725 | Train -3.3340 | Val -3.3699 | LR 5.0e-06 | NoImp 4
  Epoch  750 | Train -3.3333 | Val -3.3710 | LR 5.0e-06 | NoImp 29
  Epoch  775 | Train -3.3347 | Val -3.3717 | LR 2.5e-06 | NoImp 54
  Epoch  800 | Train -3.3349 | Val -3.3723 | LR 1.2e-06 | NoImp 79
  Epoch  825 | Train -3.3342 | Val -3.3729 | LR 1.0e-06 | NoImp 104
  Epoch  850 | Train -3.3368 | Val -3.3722 | LR 1.0e-06 | NoImp 129
  Early stop at epoch 871 (no improvement in 150 epochs)
  Fold 4 done. Mean RMSE = 0.983 μm (best epoch 720, 1204 s)

[Fold 5/20]  train 35,692  val 4,199  test 2,100  → /projects/anbu8374/Python-Research/lasp-CU-paper-3/standalone_results_profile_only_synthetic/M0_run098_synthetic_training_data_7-levels_8_May_2026_atest/fold_05
  Epoch    1 | Train -1.0818 | Val -2.5235 | LR 4.4e-05 | NoImp 0
  Epoch    2 | Train -2.5504 | Val -2.9408 | LR 8.0e-05 | NoImp 0
  Epoch    3 | Train -2.7378 | Val -3.0707 | LR 8.0e-05 | NoImp 0
  Epoch   25 | Train -3.1144 | Val -3.2004 | LR 8.0e-05 | NoImp 1
  Epoch   50 | Train -3.1607 | Val -3.2392 | LR 8.0e-05 | NoImp 1
  Epoch   75 | Train -3.1918 | Val -3.2643 | LR 8.0e-05 | NoImp 3
  Epoch  100 | Train -3.2118 | Val -3.2791 | LR 8.0e-05 | NoImp 10
  Epoch  125 | Train -3.2204 | Val -3.2732 | LR 8.0e-05 | NoImp 3
  Epoch  150 | Train -3.2360 | Val -3.3243 | LR 8.0e-05 | NoImp 0
  Epoch  175 | Train -3.2413 | Val -3.3188 | LR 8.0e-05 | NoImp 25
  Epoch  200 | Train -3.2558 | Val -3.3200 | LR 8.0e-05 | NoImp 20
  Epoch  225 | Train -3.2608 | Val -3.3290 | LR 8.0e-05 | NoImp 15
  Epoch  250 | Train -3.2662 | Val -3.3363 | LR 8.0e-05 | NoImp 9
  Epoch  275 | Train -3.2737 | Val -3.3412 | LR 8.0e-05 | NoImp 3
  Epoch  300 | Train -3.2769 | Val -3.3432 | LR 8.0e-05 | NoImp 13
