======================================================================
  STANDALONE TRAIN — synthetic, variant M0, hyperparameters from run_098
======================================================================
  sweep summary : /projects/anbu8374/Python-Research/lasp-CU-paper-3/hyper_parameter_sweep/sweep_results_profile_only_synthetic_M0/run_098/summary.json
  HDF5 file     : /gpfs/alpine1/scratch/anbu8374/neural_network_training_data/synthetic_training_data_7-levels_8_May_2026.h5
  output dir    : /projects/anbu8374/Python-Research/lasp-CU-paper-3/standalone_results_profile_only_synthetic/M0_run098_synthetic_training_data_7-levels_8_May_2026_atest
  device        : cuda

  Network input layout: 636 reflectance ⊕ 4 geometry (sza, vza, saz, vaz) ⊕ 3 extras = 643
  Extras status: tau_c=ZEROED | wv_above=ZEROED | wv_in=ZEROED
  Split sizes  : n_val=4199, n_test=4199 (profile-aware)

  Hyperparameters being reused:
    hidden_dims            = [512, 512, 256, 256]
    activation             = gelu
    dropout                = 0.1946
    learning_rate          = 7.970971212070194e-05
    lambda_physics         = 0.0065
    lambda_monotonicity    = 0.1779
    lambda_adiabatic       = 0.063
    lambda_smoothness      = 0.1639
    level_weights          = [5.199148273471455, 3.754462633346129, 3.01285889763222, 2.7850412811874383, 3.01285889763222, 3.754462633346129, 5.199148273471455]
    level_weights_name     = u_shape
    batch_size             = 128
    augment_noise_std      = 0.0208
    n_epochs               = 1500
    scheduler_patience     = 30
    early_stop_patience    = 150
    warmup_steps           = 500
    weight_decay           = 0.0001
    sigma_floor            = 0.01

  Split mode: profile-held-out (extras dataset, x dim = 643)
  Val profiles (never in train):  4199
  Test profiles (never in train): 4199
  Ablation: zeroing channel(s) ['tau_c', 'wv_above_cloud', 'wv_in_cloud'] (z-score 0 = no info beyond mean)
Profile grid: 7 levels (read from HDF5)
Model: 796,174 parameters  (input_dim=640 + n_extras=3 = 643)

Training up to 1500 epochs (early-stop patience=150, warmup_steps=500, augment_noise_std=0.0208)
----------------------------------------------------------------------
Epoch    1 | Train: -0.9588 | Val: -2.2913 | LR: 4.2e-05 | No-improve: 0
Epoch   50 | Train: -3.1589 | Val: -3.2477 | LR: 8.0e-05 | No-improve: 1
Epoch   51 | Train: -3.1591 | Val: -3.2401 | LR: 8.0e-05 | No-improve: 2
Epoch   52 | Train: -3.1656 | Val: -3.2529 | LR: 8.0e-05 | No-improve: 3
Epoch   53 | Train: -3.1640 | Val: -3.2181 | LR: 8.0e-05 | No-improve: 4
Epoch   54 | Train: -3.1658 | Val: -3.2437 | LR: 8.0e-05 | No-improve: 5
Epoch   55 | Train: -3.1679 | Val: -3.1807 | LR: 8.0e-05 | No-improve: 6
Epoch   56 | Train: -3.1629 | Val: -3.2494 | LR: 8.0e-05 | No-improve: 7
Epoch   57 | Train: -3.1659 | Val: -3.2444 | LR: 8.0e-05 | No-improve: 8
Epoch   58 | Train: -3.1673 | Val: -3.2380 | LR: 8.0e-05 | No-improve: 9
Epoch   59 | Train: -3.1669 | Val: -3.2603 | LR: 8.0e-05 | No-improve: 0
Epoch   60 | Train: -3.1700 | Val: -3.2722 | LR: 8.0e-05 | No-improve: 0
Epoch   61 | Train: -3.1747 | Val: -3.2665 | LR: 8.0e-05 | No-improve: 1
Epoch   62 | Train: -3.1756 | Val: -3.2550 | LR: 8.0e-05 | No-improve: 2
Epoch   63 | Train: -3.1732 | Val: -3.2409 | LR: 8.0e-05 | No-improve: 3
Epoch   64 | Train: -3.1777 | Val: -3.2578 | LR: 8.0e-05 | No-improve: 4
Epoch   65 | Train: -3.1773 | Val: -3.2719 | LR: 8.0e-05 | No-improve: 5
Epoch   66 | Train: -3.1780 | Val: -3.2684 | LR: 8.0e-05 | No-improve: 6
Epoch   67 | Train: -3.1807 | Val: -3.2617 | LR: 8.0e-05 | No-improve: 7
Epoch   68 | Train: -3.1834 | Val: -3.2088 | LR: 8.0e-05 | No-improve: 8
Epoch   69 | Train: -3.1804 | Val: -3.2779 | LR: 8.0e-05 | No-improve: 0
Epoch   70 | Train: -3.1862 | Val: -3.2760 | LR: 8.0e-05 | No-improve: 1
Epoch   71 | Train: -3.1845 | Val: -3.2093 | LR: 8.0e-05 | No-improve: 2
Epoch   72 | Train: -3.1821 | Val: -3.2489 | LR: 8.0e-05 | No-improve: 3
Epoch   73 | Train: -3.1890 | Val: -3.2726 | LR: 8.0e-05 | No-improve: 4
Epoch   74 | Train: -3.1871 | Val: -3.2544 | LR: 8.0e-05 | No-improve: 5
Epoch   75 | Train: -3.1918 | Val: -3.2547 | LR: 8.0e-05 | No-improve: 6
Epoch   76 | Train: -3.1852 | Val: -3.2836 | LR: 8.0e-05 | No-improve: 0
Epoch   77 | Train: -3.1867 | Val: -3.2734 | LR: 8.0e-05 | No-improve: 1
Epoch   78 | Train: -3.1947 | Val: -3.2702 | LR: 8.0e-05 | No-improve: 2
Epoch   79 | Train: -3.1869 | Val: -3.2785 | LR: 8.0e-05 | No-improve: 3
Epoch   80 | Train: -3.1954 | Val: -3.2818 | LR: 8.0e-05 | No-improve: 4
Epoch   81 | Train: -3.1930 | Val: -3.2787 | LR: 8.0e-05 | No-improve: 5
Epoch   82 | Train: -3.1897 | Val: -3.2838 | LR: 8.0e-05 | No-improve: 0
Epoch   83 | Train: -3.1954 | Val: -3.2839 | LR: 8.0e-05 | No-improve: 0
Epoch   84 | Train: -3.1936 | Val: -3.2441 | LR: 8.0e-05 | No-improve: 1
Epoch   85 | Train: -3.1947 | Val: -3.2806 | LR: 8.0e-05 | No-improve: 2
Epoch   86 | Train: -3.1939 | Val: -3.2563 | LR: 8.0e-05 | No-improve: 3
Epoch   87 | Train: -3.2011 | Val: -3.2971 | LR: 8.0e-05 | No-improve: 0
Epoch   88 | Train: -3.1942 | Val: -3.2916 | LR: 8.0e-05 | No-improve: 1
Epoch   89 | Train: -3.1982 | Val: -3.2902 | LR: 8.0e-05 | No-improve: 2
Epoch   90 | Train: -3.1985 | Val: -3.2642 | LR: 8.0e-05 | No-improve: 3
Epoch   91 | Train: -3.2014 | Val: -3.2863 | LR: 8.0e-05 | No-improve: 4
Epoch   92 | Train: -3.2018 | Val: -3.2910 | LR: 8.0e-05 | No-improve: 5
Epoch   93 | Train: -3.2031 | Val: -3.2749 | LR: 8.0e-05 | No-improve: 6
Epoch   94 | Train: -3.2029 | Val: -3.2332 | LR: 8.0e-05 | No-improve: 7
Epoch   95 | Train: -3.2049 | Val: -3.2594 | LR: 8.0e-05 | No-improve: 8
Epoch   96 | Train: -3.2034 | Val: -3.2569 | LR: 8.0e-05 | No-improve: 9
Epoch   97 | Train: -3.2056 | Val: -3.2677 | LR: 8.0e-05 | No-improve: 10
Epoch   98 | Train: -3.2079 | Val: -3.2998 | LR: 8.0e-05 | No-improve: 0
Epoch   99 | Train: -3.2012 | Val: -3.2840 | LR: 8.0e-05 | No-improve: 1
Epoch  100 | Train: -3.2073 | Val: -3.2884 | LR: 8.0e-05 | No-improve: 2
Epoch  101 | Train: -3.2070 | Val: -3.2634 | LR: 8.0e-05 | No-improve: 3
Epoch  102 | Train: -3.2084 | Val: -3.2869 | LR: 8.0e-05 | No-improve: 4
Epoch  103 | Train: -3.2088 | Val: -3.2520 | LR: 8.0e-05 | No-improve: 5
Epoch  104 | Train: -3.2110 | Val: -3.2682 | LR: 8.0e-05 | No-improve: 6
Epoch  105 | Train: -3.2139 | Val: -3.2974 | LR: 8.0e-05 | No-improve: 7
Epoch  106 | Train: -3.2114 | Val: -3.3046 | LR: 8.0e-05 | No-improve: 0
Epoch  107 | Train: -3.2095 | Val: -3.2990 | LR: 8.0e-05 | No-improve: 1
Epoch  108 | Train: -3.2104 | Val: -3.3060 | LR: 8.0e-05 | No-improve: 0
Epoch  109 | Train: -3.2119 | Val: -3.3012 | LR: 8.0e-05 | No-improve: 1
Epoch  110 | Train: -3.2082 | Val: -3.2590 | LR: 8.0e-05 | No-improve: 2
Epoch  111 | Train: -3.2115 | Val: -3.2796 | LR: 8.0e-05 | No-improve: 3
Epoch  112 | Train: -3.2141 | Val: -3.2911 | LR: 8.0e-05 | No-improve: 4
Epoch  113 | Train: -3.2130 | Val: -3.2876 | LR: 8.0e-05 | No-improve: 5
Epoch  114 | Train: -3.2116 | Val: -3.2662 | LR: 8.0e-05 | No-improve: 6
Epoch  115 | Train: -3.2151 | Val: -3.2743 | LR: 8.0e-05 | No-improve: 7
Epoch  116 | Train: -3.2172 | Val: -3.3065 | LR: 8.0e-05 | No-improve: 0
Epoch  117 | Train: -3.2153 | Val: -3.2846 | LR: 8.0e-05 | No-improve: 1
Epoch  118 | Train: -3.2169 | Val: -3.2728 | LR: 8.0e-05 | No-improve: 2
Epoch  119 | Train: -3.2144 | Val: -3.2965 | LR: 8.0e-05 | No-improve: 3
Epoch  120 | Train: -3.2190 | Val: -3.2957 | LR: 8.0e-05 | No-improve: 4
Epoch  121 | Train: -3.2180 | Val: -3.3065 | LR: 8.0e-05 | No-improve: 0
Epoch  122 | Train: -3.2210 | Val: -3.3017 | LR: 8.0e-05 | No-improve: 1
Epoch  123 | Train: -3.2192 | Val: -3.3033 | LR: 8.0e-05 | No-improve: 2
Epoch  124 | Train: -3.2202 | Val: -3.3092 | LR: 8.0e-05 | No-improve: 0
Epoch  125 | Train: -3.2211 | Val: -3.3095 | LR: 8.0e-05 | No-improve: 0
Epoch  126 | Train: -3.2220 | Val: -3.2981 | LR: 8.0e-05 | No-improve: 1
Epoch  127 | Train: -3.2183 | Val: -3.2688 | LR: 8.0e-05 | No-improve: 2
Epoch  128 | Train: -3.2204 | Val: -3.3024 | LR: 8.0e-05 | No-improve: 3
Epoch  129 | Train: -3.2210 | Val: -3.3011 | LR: 8.0e-05 | No-improve: 4
Epoch  130 | Train: -3.2237 | Val: -3.3003 | LR: 8.0e-05 | No-improve: 5
Epoch  131 | Train: -3.2254 | Val: -3.2824 | LR: 8.0e-05 | No-improve: 6
Epoch  132 | Train: -3.2239 | Val: -3.2751 | LR: 8.0e-05 | No-improve: 7
Epoch  133 | Train: -3.2210 | Val: -3.2978 | LR: 8.0e-05 | No-improve: 8
Epoch  134 | Train: -3.2272 | Val: -3.3104 | LR: 8.0e-05 | No-improve: 0
Epoch  135 | Train: -3.2293 | Val: -3.2924 | LR: 8.0e-05 | No-improve: 1
Epoch  136 | Train: -3.2287 | Val: -3.2951 | LR: 8.0e-05 | No-improve: 2
Epoch  137 | Train: -3.2270 | Val: -3.2883 | LR: 8.0e-05 | No-improve: 3
Epoch  138 | Train: -3.2275 | Val: -3.2955 | LR: 8.0e-05 | No-improve: 4
Epoch  139 | Train: -3.2253 | Val: -3.2936 | LR: 8.0e-05 | No-improve: 5
Epoch  140 | Train: -3.2255 | Val: -3.3164 | LR: 8.0e-05 | No-improve: 0
Epoch  141 | Train: -3.2314 | Val: -3.3034 | LR: 8.0e-05 | No-improve: 1
Epoch  142 | Train: -3.2280 | Val: -3.2810 | LR: 8.0e-05 | No-improve: 2
Epoch  143 | Train: -3.2287 | Val: -3.3172 | LR: 8.0e-05 | No-improve: 0
Epoch  144 | Train: -3.2272 | Val: -3.3156 | LR: 8.0e-05 | No-improve: 1
Epoch  145 | Train: -3.2321 | Val: -3.3115 | LR: 8.0e-05 | No-improve: 2
Epoch  146 | Train: -3.2315 | Val: -3.2918 | LR: 8.0e-05 | No-improve: 3
Epoch  147 | Train: -3.2291 | Val: -3.3167 | LR: 8.0e-05 | No-improve: 4
Epoch  148 | Train: -3.2282 | Val: -3.2942 | LR: 8.0e-05 | No-improve: 5
Epoch  149 | Train: -3.2274 | Val: -3.2888 | LR: 8.0e-05 | No-improve: 6
Epoch  150 | Train: -3.2331 | Val: -3.3133 | LR: 8.0e-05 | No-improve: 7
Epoch  151 | Train: -3.2329 | Val: -3.2973 | LR: 8.0e-05 | No-improve: 8
Epoch  152 | Train: -3.2310 | Val: -3.3162 | LR: 8.0e-05 | No-improve: 9
Epoch  153 | Train: -3.2317 | Val: -3.3026 | LR: 8.0e-05 | No-improve: 10
Epoch  154 | Train: -3.2360 | Val: -3.2810 | LR: 8.0e-05 | No-improve: 11
Epoch  155 | Train: -3.2300 | Val: -3.3107 | LR: 8.0e-05 | No-improve: 12
Epoch  156 | Train: -3.2354 | Val: -3.2684 | LR: 8.0e-05 | No-improve: 13
Epoch  157 | Train: -3.2353 | Val: -3.2871 | LR: 8.0e-05 | No-improve: 14
Epoch  158 | Train: -3.2345 | Val: -3.3081 | LR: 8.0e-05 | No-improve: 15
Epoch  159 | Train: -3.2370 | Val: -3.3073 | LR: 8.0e-05 | No-improve: 16
Epoch  160 | Train: -3.2325 | Val: -3.3246 | LR: 8.0e-05 | No-improve: 0
Epoch  161 | Train: -3.2406 | Val: -3.3159 | LR: 8.0e-05 | No-improve: 1
Epoch  162 | Train: -3.2328 | Val: -3.3108 | LR: 8.0e-05 | No-improve: 2
Epoch  163 | Train: -3.2367 | Val: -3.3002 | LR: 8.0e-05 | No-improve: 3
Epoch  164 | Train: -3.2362 | Val: -3.3084 | LR: 8.0e-05 | No-improve: 4
Epoch  165 | Train: -3.2339 | Val: -3.3191 | LR: 8.0e-05 | No-improve: 5
Epoch  166 | Train: -3.2348 | Val: -3.3265 | LR: 8.0e-05 | No-improve: 0
Epoch  167 | Train: -3.2368 | Val: -3.3242 | LR: 8.0e-05 | No-improve: 1
Epoch  168 | Train: -3.2373 | Val: -3.2983 | LR: 8.0e-05 | No-improve: 2
Epoch  169 | Train: -3.2367 | Val: -3.2823 | LR: 8.0e-05 | No-improve: 3
Epoch  170 | Train: -3.2400 | Val: -3.3142 | LR: 8.0e-05 | No-improve: 4
Epoch  171 | Train: -3.2353 | Val: -3.3189 | LR: 8.0e-05 | No-improve: 5
Epoch  172 | Train: -3.2415 | Val: -3.3116 | LR: 8.0e-05 | No-improve: 6
Epoch  173 | Train: -3.2379 | Val: -3.3184 | LR: 8.0e-05 | No-improve: 7
Epoch  174 | Train: -3.2413 | Val: -3.2909 | LR: 8.0e-05 | No-improve: 8
Epoch  175 | Train: -3.2436 | Val: -3.3099 | LR: 8.0e-05 | No-improve: 9
Epoch  176 | Train: -3.2392 | Val: -3.3195 | LR: 8.0e-05 | No-improve: 10
Epoch  177 | Train: -3.2371 | Val: -3.3106 | LR: 8.0e-05 | No-improve: 11
Epoch  178 | Train: -3.2397 | Val: -3.3132 | LR: 8.0e-05 | No-improve: 12
Epoch  179 | Train: -3.2409 | Val: -3.3246 | LR: 8.0e-05 | No-improve: 13
Epoch  180 | Train: -3.2407 | Val: -3.3225 | LR: 8.0e-05 | No-improve: 14
Epoch  181 | Train: -3.2423 | Val: -3.3237 | LR: 8.0e-05 | No-improve: 15
Epoch  182 | Train: -3.2398 | Val: -3.3292 | LR: 8.0e-05 | No-improve: 0
Epoch  183 | Train: -3.2442 | Val: -3.3115 | LR: 8.0e-05 | No-improve: 1
Epoch  184 | Train: -3.2432 | Val: -3.3220 | LR: 8.0e-05 | No-improve: 2
Epoch  185 | Train: -3.2450 | Val: -3.2437 | LR: 8.0e-05 | No-improve: 3
Epoch  186 | Train: -3.2452 | Val: -3.3102 | LR: 8.0e-05 | No-improve: 4
Epoch  187 | Train: -3.2418 | Val: -3.3306 | LR: 8.0e-05 | No-improve: 0
Epoch  188 | Train: -3.2454 | Val: -3.3148 | LR: 8.0e-05 | No-improve: 1
Epoch  189 | Train: -3.2432 | Val: -3.2899 | LR: 8.0e-05 | No-improve: 2
Epoch  190 | Train: -3.2447 | Val: -3.3239 | LR: 8.0e-05 | No-improve: 3
Epoch  191 | Train: -3.2491 | Val: -3.3030 | LR: 8.0e-05 | No-improve: 4
Epoch  192 | Train: -3.2439 | Val: -3.2934 | LR: 8.0e-05 | No-improve: 5
Epoch  193 | Train: -3.2452 | Val: -3.3096 | LR: 8.0e-05 | No-improve: 6
Epoch  194 | Train: -3.2456 | Val: -3.3201 | LR: 8.0e-05 | No-improve: 7
Epoch  195 | Train: -3.2485 | Val: -3.3310 | LR: 8.0e-05 | No-improve: 0
Epoch  196 | Train: -3.2509 | Val: -3.3285 | LR: 8.0e-05 | No-improve: 1
Epoch  197 | Train: -3.2502 | Val: -3.3067 | LR: 8.0e-05 | No-improve: 2
Epoch  198 | Train: -3.2472 | Val: -3.3224 | LR: 8.0e-05 | No-improve: 3
Epoch  199 | Train: -3.2504 | Val: -3.3307 | LR: 8.0e-05 | No-improve: 4
Epoch  200 | Train: -3.2456 | Val: -3.3301 | LR: 8.0e-05 | No-improve: 5
Epoch  201 | Train: -3.2493 | Val: -3.3275 | LR: 8.0e-05 | No-improve: 6
Epoch  202 | Train: -3.2510 | Val: -3.3252 | LR: 8.0e-05 | No-improve: 7
Epoch  203 | Train: -3.2495 | Val: -3.2981 | LR: 8.0e-05 | No-improve: 8
Epoch  204 | Train: -3.2462 | Val: -3.2975 | LR: 8.0e-05 | No-improve: 9
Epoch  205 | Train: -3.2487 | Val: -3.3279 | LR: 8.0e-05 | No-improve: 10
Epoch  206 | Train: -3.2480 | Val: -3.3304 | LR: 8.0e-05 | No-improve: 11
Epoch  207 | Train: -3.2541 | Val: -3.3234 | LR: 8.0e-05 | No-improve: 12
Epoch  208 | Train: -3.2481 | Val: -3.3171 | LR: 8.0e-05 | No-improve: 13
Epoch  209 | Train: -3.2475 | Val: -3.2855 | LR: 8.0e-05 | No-improve: 14
Epoch  210 | Train: -3.2518 | Val: -3.3268 | LR: 8.0e-05 | No-improve: 15
Epoch  211 | Train: -3.2498 | Val: -3.3313 | LR: 8.0e-05 | No-improve: 0
Epoch  212 | Train: -3.2551 | Val: -3.3227 | LR: 8.0e-05 | No-improve: 1
Epoch  213 | Train: -3.2503 | Val: -3.3207 | LR: 8.0e-05 | No-improve: 2
Epoch  214 | Train: -3.2548 | Val: -3.3261 | LR: 8.0e-05 | No-improve: 3
Epoch  215 | Train: -3.2533 | Val: -3.3189 | LR: 8.0e-05 | No-improve: 4
Epoch  216 | Train: -3.2561 | Val: -3.3334 | LR: 8.0e-05 | No-improve: 0
Epoch  217 | Train: -3.2547 | Val: -3.3302 | LR: 8.0e-05 | No-improve: 1
Epoch  218 | Train: -3.2528 | Val: -3.3317 | LR: 8.0e-05 | No-improve: 2
Epoch  219 | Train: -3.2535 | Val: -3.3162 | LR: 8.0e-05 | No-improve: 3
Epoch  220 | Train: -3.2561 | Val: -3.3216 | LR: 8.0e-05 | No-improve: 4
Epoch  221 | Train: -3.2564 | Val: -3.3088 | LR: 8.0e-05 | No-improve: 5
Epoch  222 | Train: -3.2562 | Val: -3.3142 | LR: 8.0e-05 | No-improve: 6
Epoch  223 | Train: -3.2564 | Val: -3.3201 | LR: 8.0e-05 | No-improve: 7
Epoch  224 | Train: -3.2560 | Val: -3.3393 | LR: 8.0e-05 | No-improve: 0
Epoch  225 | Train: -3.2578 | Val: -3.3005 | LR: 8.0e-05 | No-improve: 1
Epoch  226 | Train: -3.2547 | Val: -3.3296 | LR: 8.0e-05 | No-improve: 2
Epoch  227 | Train: -3.2578 | Val: -3.3241 | LR: 8.0e-05 | No-improve: 3
Epoch  228 | Train: -3.2576 | Val: -3.3368 | LR: 8.0e-05 | No-improve: 4
Epoch  229 | Train: -3.2564 | Val: -3.3383 | LR: 8.0e-05 | No-improve: 5
Epoch  230 | Train: -3.2558 | Val: -3.3306 | LR: 8.0e-05 | No-improve: 6
Epoch  231 | Train: -3.2554 | Val: -3.3222 | LR: 8.0e-05 | No-improve: 7
Epoch  232 | Train: -3.2600 | Val: -3.3395 | LR: 8.0e-05 | No-improve: 0
Epoch  233 | Train: -3.2584 | Val: -3.3350 | LR: 8.0e-05 | No-improve: 1
Epoch  234 | Train: -3.2574 | Val: -3.3205 | LR: 8.0e-05 | No-improve: 2
Epoch  235 | Train: -3.2570 | Val: -3.3329 | LR: 8.0e-05 | No-improve: 3
Epoch  236 | Train: -3.2579 | Val: -3.3263 | LR: 8.0e-05 | No-improve: 4
Epoch  237 | Train: -3.2613 | Val: -3.3074 | LR: 8.0e-05 | No-improve: 5
Epoch  238 | Train: -3.2569 | Val: -3.3131 | LR: 8.0e-05 | No-improve: 6
Epoch  239 | Train: -3.2598 | Val: -3.3227 | LR: 8.0e-05 | No-improve: 7
Epoch  240 | Train: -3.2579 | Val: -3.3211 | LR: 8.0e-05 | No-improve: 8
Epoch  241 | Train: -3.2600 | Val: -3.3367 | LR: 8.0e-05 | No-improve: 9
Epoch  242 | Train: -3.2609 | Val: -3.3127 | LR: 8.0e-05 | No-improve: 10
Epoch  243 | Train: -3.2592 | Val: -3.3152 | LR: 8.0e-05 | No-improve: 11
Epoch  244 | Train: -3.2568 | Val: -3.3381 | LR: 8.0e-05 | No-improve: 12
Epoch  245 | Train: -3.2580 | Val: -3.3281 | LR: 8.0e-05 | No-improve: 13
Epoch  246 | Train: -3.2598 | Val: -3.3312 | LR: 8.0e-05 | No-improve: 14
Epoch  247 | Train: -3.2635 | Val: -3.3373 | LR: 8.0e-05 | No-improve: 15
Epoch  248 | Train: -3.2617 | Val: -3.3136 | LR: 8.0e-05 | No-improve: 16
Epoch  249 | Train: -3.2649 | Val: -3.3375 | LR: 8.0e-05 | No-improve: 17
Epoch  250 | Train: -3.2631 | Val: -3.3452 | LR: 8.0e-05 | No-improve: 0
