======================================================================
  STANDALONE TRAIN — synthetic, variant M0, hyperparameters from run_004
======================================================================
  sweep summary : /projects/anbu8374/Python-Research/lasp-CU-paper-3/hyper_parameter_sweep/sweep_results_profile_only_synthetic_M0/run_004/summary.json
  HDF5 file     : /gpfs/alpine1/scratch/anbu8374/neural_network_training_data/synthetic_training_data_7-levels_8_May_2026.h5
  output dir    : /projects/anbu8374/Python-Research/lasp-CU-paper-3/standalone_results_profile_only_synthetic/M0_run004_synthetic_training_data_7-levels_8_May_2026
  device        : cuda

  Network input layout: 636 reflectance ⊕ 4 geometry (sza, vza, saz, vaz) ⊕ 3 extras = 643
  Extras status: tau_c=ZEROED | wv_above=ZEROED | wv_in=ZEROED
  Split sizes  : n_val=4199, n_test=4199 (profile-aware)

  Hyperparameters being reused:
    hidden_dims            = [512, 512, 256, 256]
    activation             = gelu
    dropout                = 0.2637
    learning_rate          = 2.764011372868257e-05
    lambda_physics         = 0.0295
    lambda_monotonicity    = 0.0621
    lambda_adiabatic       = 0.1698
    lambda_smoothness      = 0.1654
    level_weights          = [5.199148273471455, 3.754462633346129, 3.01285889763222, 2.7850412811874383, 3.01285889763222, 3.754462633346129, 5.199148273471455]
    level_weights_name     = u_shape
    batch_size             = 128
    augment_noise_std      = 0.0032
    n_epochs               = 2500
    scheduler_patience     = 30
    early_stop_patience    = 150
    warmup_steps           = 500
    weight_decay           = 0.0001
    sigma_floor            = 0.01

  Split mode: profile-held-out (extras dataset, x dim = 643)
  Val profiles (never in train):  4199
  Test profiles (never in train): 4199
  Ablation: zeroing channel(s) ['tau_c', 'wv_above_cloud', 'wv_in_cloud'] (z-score 0 = no info beyond mean)
Profile grid: 7 levels (read from HDF5)
Model: 796,174 parameters  (input_dim=640 + n_extras=3 = 643)

Training up to 2500 epochs (early-stop patience=150, warmup_steps=500, augment_noise_std=0.0032)
----------------------------------------------------------------------
Epoch    1 | Train:  0.1763 | Val: -1.1945 | LR: 1.5e-05 | No-improve: 0
Epoch   31 | Train: -3.0386 | Val: -3.2005 | LR: 2.8e-05 | No-improve: 0
Epoch   32 | Train: -3.0444 | Val: -3.1846 | LR: 2.8e-05 | No-improve: 1
Epoch   33 | Train: -3.0465 | Val: -3.1903 | LR: 2.8e-05 | No-improve: 2
Epoch   34 | Train: -3.0478 | Val: -3.1891 | LR: 2.8e-05 | No-improve: 3
Epoch   35 | Train: -3.0541 | Val: -3.1755 | LR: 2.8e-05 | No-improve: 4
Epoch   36 | Train: -3.0545 | Val: -3.1792 | LR: 2.8e-05 | No-improve: 5
Epoch   37 | Train: -3.0597 | Val: -3.1961 | LR: 2.8e-05 | No-improve: 6
Epoch   38 | Train: -3.0614 | Val: -3.1914 | LR: 2.8e-05 | No-improve: 7
Epoch   39 | Train: -3.0635 | Val: -3.2061 | LR: 2.8e-05 | No-improve: 0
Epoch   40 | Train: -3.0748 | Val: -3.2190 | LR: 2.8e-05 | No-improve: 0
Epoch   41 | Train: -3.0715 | Val: -3.1876 | LR: 2.8e-05 | No-improve: 1
Epoch   42 | Train: -3.0722 | Val: -3.2102 | LR: 2.8e-05 | No-improve: 2
Epoch   43 | Train: -3.0761 | Val: -3.2160 | LR: 2.8e-05 | No-improve: 3
Epoch   44 | Train: -3.0780 | Val: -3.2134 | LR: 2.8e-05 | No-improve: 4
Epoch   45 | Train: -3.0774 | Val: -3.1858 | LR: 2.8e-05 | No-improve: 5
Epoch   46 | Train: -3.0778 | Val: -3.2184 | LR: 2.8e-05 | No-improve: 6
Epoch   47 | Train: -3.0837 | Val: -3.2004 | LR: 2.8e-05 | No-improve: 7
Epoch   48 | Train: -3.0889 | Val: -3.2284 | LR: 2.8e-05 | No-improve: 0
Epoch   49 | Train: -3.0895 | Val: -3.2287 | LR: 2.8e-05 | No-improve: 0
Epoch   50 | Train: -3.0915 | Val: -3.1831 | LR: 2.8e-05 | No-improve: 1
Epoch   51 | Train: -3.0890 | Val: -3.2169 | LR: 2.8e-05 | No-improve: 2
Epoch   52 | Train: -3.0950 | Val: -3.2291 | LR: 2.8e-05 | No-improve: 0
Epoch   53 | Train: -3.0998 | Val: -3.2237 | LR: 2.8e-05 | No-improve: 1
Epoch   54 | Train: -3.0960 | Val: -3.2248 | LR: 2.8e-05 | No-improve: 2
Epoch   55 | Train: -3.0984 | Val: -3.2307 | LR: 2.8e-05 | No-improve: 0
Epoch   56 | Train: -3.0980 | Val: -3.2164 | LR: 2.8e-05 | No-improve: 1
Epoch   57 | Train: -3.1047 | Val: -3.2315 | LR: 2.8e-05 | No-improve: 0
Epoch   58 | Train: -3.1058 | Val: -3.2337 | LR: 2.8e-05 | No-improve: 0
Epoch   59 | Train: -3.1047 | Val: -3.2323 | LR: 2.8e-05 | No-improve: 1
Epoch   60 | Train: -3.1068 | Val: -3.2158 | LR: 2.8e-05 | No-improve: 2
Epoch   61 | Train: -3.1075 | Val: -3.2091 | LR: 2.8e-05 | No-improve: 3
Epoch   62 | Train: -3.1116 | Val: -3.2245 | LR: 2.8e-05 | No-improve: 4
Epoch   63 | Train: -3.1105 | Val: -3.2359 | LR: 2.8e-05 | No-improve: 0
Epoch   64 | Train: -3.1089 | Val: -3.2058 | LR: 2.8e-05 | No-improve: 1
Epoch   65 | Train: -3.1127 | Val: -3.2361 | LR: 2.8e-05 | No-improve: 0
Epoch   66 | Train: -3.1169 | Val: -3.2353 | LR: 2.8e-05 | No-improve: 1
Epoch   67 | Train: -3.1167 | Val: -3.2470 | LR: 2.8e-05 | No-improve: 0
Epoch   68 | Train: -3.1192 | Val: -3.2398 | LR: 2.8e-05 | No-improve: 1
Epoch   69 | Train: -3.1187 | Val: -3.2325 | LR: 2.8e-05 | No-improve: 2
Epoch   70 | Train: -3.1207 | Val: -3.2315 | LR: 2.8e-05 | No-improve: 3
Epoch   71 | Train: -3.1198 | Val: -3.2223 | LR: 2.8e-05 | No-improve: 4
Epoch   72 | Train: -3.1196 | Val: -3.2372 | LR: 2.8e-05 | No-improve: 5
Epoch   73 | Train: -3.1207 | Val: -3.2264 | LR: 2.8e-05 | No-improve: 6
Epoch   74 | Train: -3.1250 | Val: -3.2443 | LR: 2.8e-05 | No-improve: 7
Epoch   75 | Train: -3.1261 | Val: -3.2478 | LR: 2.8e-05 | No-improve: 0
Epoch   76 | Train: -3.1263 | Val: -3.2169 | LR: 2.8e-05 | No-improve: 1
Epoch   77 | Train: -3.1287 | Val: -3.2366 | LR: 2.8e-05 | No-improve: 2
Epoch   78 | Train: -3.1312 | Val: -3.2338 | LR: 2.8e-05 | No-improve: 3
Epoch   79 | Train: -3.1291 | Val: -3.2473 | LR: 2.8e-05 | No-improve: 4
Epoch   80 | Train: -3.1328 | Val: -3.2511 | LR: 2.8e-05 | No-improve: 0
Epoch   81 | Train: -3.1308 | Val: -3.2347 | LR: 2.8e-05 | No-improve: 1
Epoch   82 | Train: -3.1306 | Val: -3.2510 | LR: 2.8e-05 | No-improve: 2
Epoch   83 | Train: -3.1366 | Val: -3.2338 | LR: 2.8e-05 | No-improve: 3
Epoch   84 | Train: -3.1321 | Val: -3.2295 | LR: 2.8e-05 | No-improve: 4
Epoch   85 | Train: -3.1374 | Val: -3.2595 | LR: 2.8e-05 | No-improve: 0
Epoch   86 | Train: -3.1374 | Val: -3.2389 | LR: 2.8e-05 | No-improve: 1
Epoch   87 | Train: -3.1400 | Val: -3.2275 | LR: 2.8e-05 | No-improve: 2
Epoch   88 | Train: -3.1337 | Val: -3.2565 | LR: 2.8e-05 | No-improve: 3
Epoch   89 | Train: -3.1387 | Val: -3.2295 | LR: 2.8e-05 | No-improve: 4
Epoch   90 | Train: -3.1384 | Val: -3.2674 | LR: 2.8e-05 | No-improve: 0
Epoch   91 | Train: -3.1395 | Val: -3.2660 | LR: 2.8e-05 | No-improve: 1
Epoch   92 | Train: -3.1394 | Val: -3.1679 | LR: 2.8e-05 | No-improve: 2
Epoch   93 | Train: -3.1413 | Val: -3.2393 | LR: 2.8e-05 | No-improve: 3
Epoch   94 | Train: -3.1417 | Val: -3.2562 | LR: 2.8e-05 | No-improve: 4
Epoch   95 | Train: -3.1438 | Val: -3.2602 | LR: 2.8e-05 | No-improve: 5
Epoch   96 | Train: -3.1444 | Val: -3.2534 | LR: 2.8e-05 | No-improve: 6
Epoch   97 | Train: -3.1456 | Val: -3.2648 | LR: 2.8e-05 | No-improve: 7
Epoch   98 | Train: -3.1476 | Val: -3.2619 | LR: 2.8e-05 | No-improve: 8
Epoch   99 | Train: -3.1447 | Val: -3.2554 | LR: 2.8e-05 | No-improve: 9
Epoch  100 | Train: -3.1450 | Val: -3.2577 | LR: 2.8e-05 | No-improve: 10
Epoch  101 | Train: -3.1495 | Val: -3.2286 | LR: 2.8e-05 | No-improve: 11
Epoch  102 | Train: -3.1512 | Val: -3.2692 | LR: 2.8e-05 | No-improve: 0
Epoch  103 | Train: -3.1503 | Val: -3.2672 | LR: 2.8e-05 | No-improve: 1
Epoch  104 | Train: -3.1516 | Val: -3.2467 | LR: 2.8e-05 | No-improve: 2
Epoch  105 | Train: -3.1539 | Val: -3.2668 | LR: 2.8e-05 | No-improve: 3
Epoch  106 | Train: -3.1534 | Val: -3.2486 | LR: 2.8e-05 | No-improve: 4
Epoch  107 | Train: -3.1521 | Val: -3.2697 | LR: 2.8e-05 | No-improve: 0
Epoch  108 | Train: -3.1550 | Val: -3.2722 | LR: 2.8e-05 | No-improve: 0
Epoch  109 | Train: -3.1517 | Val: -3.2737 | LR: 2.8e-05 | No-improve: 0
Epoch  110 | Train: -3.1518 | Val: -3.2561 | LR: 2.8e-05 | No-improve: 1
Epoch  111 | Train: -3.1538 | Val: -3.2655 | LR: 2.8e-05 | No-improve: 2
Epoch  112 | Train: -3.1586 | Val: -3.2709 | LR: 2.8e-05 | No-improve: 3
Epoch  113 | Train: -3.1580 | Val: -3.2252 | LR: 2.8e-05 | No-improve: 4
Epoch  114 | Train: -3.1537 | Val: -3.2723 | LR: 2.8e-05 | No-improve: 5
Epoch  115 | Train: -3.1605 | Val: -3.2529 | LR: 2.8e-05 | No-improve: 6
Epoch  116 | Train: -3.1570 | Val: -3.2740 | LR: 2.8e-05 | No-improve: 0
Epoch  117 | Train: -3.1571 | Val: -3.2549 | LR: 2.8e-05 | No-improve: 1
Epoch  118 | Train: -3.1609 | Val: -3.2808 | LR: 2.8e-05 | No-improve: 0
Epoch  119 | Train: -3.1576 | Val: -3.2807 | LR: 2.8e-05 | No-improve: 1
Epoch  120 | Train: -3.1632 | Val: -3.2765 | LR: 2.8e-05 | No-improve: 2
Epoch  121 | Train: -3.1604 | Val: -3.2582 | LR: 2.8e-05 | No-improve: 3
Epoch  122 | Train: -3.1633 | Val: -3.2681 | LR: 2.8e-05 | No-improve: 4
Epoch  123 | Train: -3.1649 | Val: -3.2719 | LR: 2.8e-05 | No-improve: 5
Epoch  124 | Train: -3.1680 | Val: -3.2722 | LR: 2.8e-05 | No-improve: 6
Epoch  125 | Train: -3.1664 | Val: -3.2856 | LR: 2.8e-05 | No-improve: 0
Epoch  126 | Train: -3.1625 | Val: -3.2546 | LR: 2.8e-05 | No-improve: 1
Epoch  127 | Train: -3.1685 | Val: -3.2635 | LR: 2.8e-05 | No-improve: 2
Epoch  128 | Train: -3.1659 | Val: -3.2413 | LR: 2.8e-05 | No-improve: 3
Epoch  129 | Train: -3.1677 | Val: -3.2458 | LR: 2.8e-05 | No-improve: 4
Epoch  130 | Train: -3.1668 | Val: -3.2819 | LR: 2.8e-05 | No-improve: 5
Epoch  131 | Train: -3.1702 | Val: -3.2565 | LR: 2.8e-05 | No-improve: 6
Epoch  132 | Train: -3.1704 | Val: -3.2650 | LR: 2.8e-05 | No-improve: 7
Epoch  133 | Train: -3.1666 | Val: -3.2801 | LR: 2.8e-05 | No-improve: 8
Epoch  134 | Train: -3.1714 | Val: -3.2699 | LR: 2.8e-05 | No-improve: 9
Epoch  135 | Train: -3.1723 | Val: -3.2664 | LR: 2.8e-05 | No-improve: 10
Epoch  136 | Train: -3.1707 | Val: -3.2853 | LR: 2.8e-05 | No-improve: 11
Epoch  137 | Train: -3.1697 | Val: -3.2608 | LR: 2.8e-05 | No-improve: 12
Epoch  138 | Train: -3.1757 | Val: -3.2792 | LR: 2.8e-05 | No-improve: 13
Epoch  139 | Train: -3.1714 | Val: -3.2910 | LR: 2.8e-05 | No-improve: 0
Epoch  140 | Train: -3.1738 | Val: -3.2720 | LR: 2.8e-05 | No-improve: 1
Epoch  141 | Train: -3.1775 | Val: -3.2890 | LR: 2.8e-05 | No-improve: 2
Epoch  142 | Train: -3.1735 | Val: -3.2820 | LR: 2.8e-05 | No-improve: 3
Epoch  143 | Train: -3.1727 | Val: -3.2898 | LR: 2.8e-05 | No-improve: 4
Epoch  144 | Train: -3.1753 | Val: -3.2863 | LR: 2.8e-05 | No-improve: 5
Epoch  145 | Train: -3.1787 | Val: -3.2802 | LR: 2.8e-05 | No-improve: 6
Epoch  146 | Train: -3.1797 | Val: -3.2760 | LR: 2.8e-05 | No-improve: 7
Epoch  147 | Train: -3.1762 | Val: -3.2949 | LR: 2.8e-05 | No-improve: 0
Epoch  148 | Train: -3.1801 | Val: -3.2670 | LR: 2.8e-05 | No-improve: 1
Epoch  149 | Train: -3.1756 | Val: -3.2832 | LR: 2.8e-05 | No-improve: 2
Epoch  150 | Train: -3.1801 | Val: -3.2903 | LR: 2.8e-05 | No-improve: 3
Epoch  151 | Train: -3.1793 | Val: -3.2923 | LR: 2.8e-05 | No-improve: 4
Epoch  152 | Train: -3.1803 | Val: -3.2844 | LR: 2.8e-05 | No-improve: 5
Epoch  153 | Train: -3.1807 | Val: -3.2678 | LR: 2.8e-05 | No-improve: 6
Epoch  154 | Train: -3.1805 | Val: -3.2927 | LR: 2.8e-05 | No-improve: 7
Epoch  155 | Train: -3.1796 | Val: -3.2932 | LR: 2.8e-05 | No-improve: 8
Epoch  156 | Train: -3.1790 | Val: -3.2924 | LR: 2.8e-05 | No-improve: 9
Epoch  157 | Train: -3.1799 | Val: -3.2825 | LR: 2.8e-05 | No-improve: 10
Epoch  158 | Train: -3.1839 | Val: -3.2943 | LR: 2.8e-05 | No-improve: 11
Epoch  159 | Train: -3.1820 | Val: -3.2861 | LR: 2.8e-05 | No-improve: 12
Epoch  160 | Train: -3.1833 | Val: -3.2832 | LR: 2.8e-05 | No-improve: 13
Epoch  161 | Train: -3.1834 | Val: -3.2997 | LR: 2.8e-05 | No-improve: 0
Epoch  162 | Train: -3.1838 | Val: -3.2921 | LR: 2.8e-05 | No-improve: 1
Epoch  163 | Train: -3.1868 | Val: -3.2913 | LR: 2.8e-05 | No-improve: 2
Epoch  164 | Train: -3.1860 | Val: -3.2800 | LR: 2.8e-05 | No-improve: 3
Epoch  165 | Train: -3.1836 | Val: -3.2984 | LR: 2.8e-05 | No-improve: 4
Epoch  166 | Train: -3.1839 | Val: -3.2922 | LR: 2.8e-05 | No-improve: 5
Epoch  167 | Train: -3.1849 | Val: -3.2956 | LR: 2.8e-05 | No-improve: 6
Epoch  168 | Train: -3.1859 | Val: -3.2914 | LR: 2.8e-05 | No-improve: 7
Epoch  169 | Train: -3.1834 | Val: -3.2689 | LR: 2.8e-05 | No-improve: 8
Epoch  170 | Train: -3.1854 | Val: -3.3033 | LR: 2.8e-05 | No-improve: 0
Epoch  171 | Train: -3.1881 | Val: -3.2834 | LR: 2.8e-05 | No-improve: 1
Epoch  172 | Train: -3.1879 | Val: -3.2850 | LR: 2.8e-05 | No-improve: 2
Epoch  173 | Train: -3.1879 | Val: -3.2766 | LR: 2.8e-05 | No-improve: 3
Epoch  174 | Train: -3.1899 | Val: -3.3054 | LR: 2.8e-05 | No-improve: 0
Epoch  175 | Train: -3.1906 | Val: -3.3061 | LR: 2.8e-05 | No-improve: 0
Epoch  176 | Train: -3.1868 | Val: -3.3036 | LR: 2.8e-05 | No-improve: 1
Epoch  177 | Train: -3.1877 | Val: -3.2950 | LR: 2.8e-05 | No-improve: 2
Epoch  178 | Train: -3.1888 | Val: -3.2972 | LR: 2.8e-05 | No-improve: 3
Epoch  179 | Train: -3.1916 | Val: -3.2710 | LR: 2.8e-05 | No-improve: 4
Epoch  180 | Train: -3.1911 | Val: -3.2991 | LR: 2.8e-05 | No-improve: 5
Epoch  181 | Train: -3.1921 | Val: -3.2941 | LR: 2.8e-05 | No-improve: 6
Epoch  182 | Train: -3.1928 | Val: -3.2962 | LR: 2.8e-05 | No-improve: 7
Epoch  183 | Train: -3.1918 | Val: -3.2978 | LR: 2.8e-05 | No-improve: 8
Epoch  184 | Train: -3.1908 | Val: -3.3033 | LR: 2.8e-05 | No-improve: 9
Epoch  185 | Train: -3.1944 | Val: -3.2914 | LR: 2.8e-05 | No-improve: 10
Epoch  186 | Train: -3.1935 | Val: -3.2776 | LR: 2.8e-05 | No-improve: 11
Epoch  187 | Train: -3.1912 | Val: -3.3050 | LR: 2.8e-05 | No-improve: 12
Epoch  188 | Train: -3.1924 | Val: -3.2920 | LR: 2.8e-05 | No-improve: 13
Epoch  189 | Train: -3.1920 | Val: -3.2990 | LR: 2.8e-05 | No-improve: 14
Epoch  190 | Train: -3.1964 | Val: -3.2602 | LR: 2.8e-05 | No-improve: 15
Epoch  191 | Train: -3.1939 | Val: -3.3041 | LR: 2.8e-05 | No-improve: 16
Epoch  192 | Train: -3.1935 | Val: -3.3085 | LR: 2.8e-05 | No-improve: 0
Epoch  193 | Train: -3.1944 | Val: -3.2983 | LR: 2.8e-05 | No-improve: 1
Epoch  194 | Train: -3.1955 | Val: -3.2984 | LR: 2.8e-05 | No-improve: 2
Epoch  195 | Train: -3.1953 | Val: -3.3048 | LR: 2.8e-05 | No-improve: 3
Epoch  196 | Train: -3.1979 | Val: -3.3090 | LR: 2.8e-05 | No-improve: 0
Epoch  197 | Train: -3.1966 | Val: -3.2986 | LR: 2.8e-05 | No-improve: 1
Epoch  198 | Train: -3.1892 | Val: -3.2859 | LR: 2.8e-05 | No-improve: 2
Epoch  199 | Train: -3.1960 | Val: -3.3076 | LR: 2.8e-05 | No-improve: 3
Epoch  200 | Train: -3.1970 | Val: -3.3072 | LR: 2.8e-05 | No-improve: 4
Epoch  201 | Train: -3.1964 | Val: -3.3055 | LR: 2.8e-05 | No-improve: 5
Epoch  202 | Train: -3.1981 | Val: -3.2998 | LR: 2.8e-05 | No-improve: 6
Epoch  203 | Train: -3.2003 | Val: -3.2798 | LR: 2.8e-05 | No-improve: 7
Epoch  204 | Train: -3.1973 | Val: -3.3041 | LR: 2.8e-05 | No-improve: 8
Epoch  205 | Train: -3.2006 | Val: -3.3106 | LR: 2.8e-05 | No-improve: 0
Epoch  206 | Train: -3.2007 | Val: -3.3036 | LR: 2.8e-05 | No-improve: 1
Epoch  207 | Train: -3.2018 | Val: -3.2929 | LR: 2.8e-05 | No-improve: 2
Epoch  208 | Train: -3.2003 | Val: -3.2777 | LR: 2.8e-05 | No-improve: 3
Epoch  209 | Train: -3.1994 | Val: -3.3089 | LR: 2.8e-05 | No-improve: 4
Epoch  210 | Train: -3.2008 | Val: -3.3093 | LR: 2.8e-05 | No-improve: 5
Epoch  211 | Train: -3.2008 | Val: -3.2813 | LR: 2.8e-05 | No-improve: 6
Epoch  212 | Train: -3.2043 | Val: -3.2935 | LR: 2.8e-05 | No-improve: 7
Epoch  213 | Train: -3.2014 | Val: -3.3171 | LR: 2.8e-05 | No-improve: 0
Epoch  214 | Train: -3.2064 | Val: -3.2990 | LR: 2.8e-05 | No-improve: 1
Epoch  215 | Train: -3.2015 | Val: -3.3073 | LR: 2.8e-05 | No-improve: 2
Epoch  216 | Train: -3.2066 | Val: -3.3086 | LR: 2.8e-05 | No-improve: 3
Epoch  217 | Train: -3.2045 | Val: -3.3038 | LR: 2.8e-05 | No-improve: 4
Epoch  218 | Train: -3.2054 | Val: -3.3149 | LR: 2.8e-05 | No-improve: 5
Epoch  219 | Train: -3.2049 | Val: -3.3064 | LR: 2.8e-05 | No-improve: 6
Epoch  220 | Train: -3.2061 | Val: -3.2946 | LR: 2.8e-05 | No-improve: 7
Epoch  221 | Train: -3.2064 | Val: -3.3133 | LR: 2.8e-05 | No-improve: 8
Epoch  222 | Train: -3.2047 | Val: -3.3157 | LR: 2.8e-05 | No-improve: 9
Epoch  223 | Train: -3.2066 | Val: -3.3098 | LR: 2.8e-05 | No-improve: 10
Epoch  224 | Train: -3.2023 | Val: -3.2963 | LR: 2.8e-05 | No-improve: 11
Epoch  225 | Train: -3.2077 | Val: -3.2939 | LR: 2.8e-05 | No-improve: 12
Epoch  226 | Train: -3.2062 | Val: -3.3064 | LR: 2.8e-05 | No-improve: 13
Epoch  227 | Train: -3.2077 | Val: -3.3150 | LR: 2.8e-05 | No-improve: 14
Epoch  228 | Train: -3.2061 | Val: -3.3097 | LR: 2.8e-05 | No-improve: 15
Epoch  229 | Train: -3.2050 | Val: -3.2461 | LR: 2.8e-05 | No-improve: 16
Epoch  230 | Train: -3.2040 | Val: -3.3080 | LR: 2.8e-05 | No-improve: 17
Epoch  231 | Train: -3.2066 | Val: -3.3134 | LR: 2.8e-05 | No-improve: 18
Epoch  232 | Train: -3.2085 | Val: -3.3091 | LR: 2.8e-05 | No-improve: 19
Epoch  233 | Train: -3.2077 | Val: -3.2983 | LR: 2.8e-05 | No-improve: 20
Epoch  234 | Train: -3.2069 | Val: -3.3168 | LR: 2.8e-05 | No-improve: 21
Epoch  235 | Train: -3.2051 | Val: -3.3130 | LR: 2.8e-05 | No-improve: 22
Epoch  236 | Train: -3.2096 | Val: -3.2935 | LR: 2.8e-05 | No-improve: 23
Epoch  237 | Train: -3.2075 | Val: -3.2854 | LR: 2.8e-05 | No-improve: 24
Epoch  238 | Train: -3.2077 | Val: -3.3018 | LR: 2.8e-05 | No-improve: 25
Epoch  239 | Train: -3.2100 | Val: -3.3130 | LR: 2.8e-05 | No-improve: 26
Epoch  240 | Train: -3.2061 | Val: -3.2932 | LR: 2.8e-05 | No-improve: 27
Epoch  241 | Train: -3.2124 | Val: -3.3155 | LR: 2.8e-05 | No-improve: 28
Epoch  242 | Train: -3.2123 | Val: -3.3043 | LR: 2.8e-05 | No-improve: 29
Epoch  243 | Train: -3.2113 | Val: -3.3181 | LR: 2.8e-05 | No-improve: 0
Epoch  244 | Train: -3.2121 | Val: -3.3158 | LR: 2.8e-05 | No-improve: 1
Epoch  245 | Train: -3.2074 | Val: -3.2973 | LR: 2.8e-05 | No-improve: 2
Epoch  246 | Train: -3.2106 | Val: -3.3139 | LR: 2.8e-05 | No-improve: 3
Epoch  247 | Train: -3.2130 | Val: -3.3219 | LR: 2.8e-05 | No-improve: 0
Epoch  248 | Train: -3.2117 | Val: -3.3036 | LR: 2.8e-05 | No-improve: 1
Epoch  249 | Train: -3.2114 | Val: -3.3180 | LR: 2.8e-05 | No-improve: 2
Epoch  250 | Train: -3.2135 | Val: -3.3069 | LR: 2.8e-05 | No-improve: 3
